iteration_id	date_time	host_environment	selected_model	variant_id	variant_name	prompt_version	benchmark_pack_version	total_tasks	pass_rate	first_pass_rate	retry_recovery_rate	scope_violation_rate	false_success_rate	verification_compliance_rate	avg_output_length	avg_turn_count	major_failure_categories	lessons_learned	decision	notes
ag-b4-v1	2026-04-21	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v1	9	1.0	1.0	not_measured	0.1111	0.0	1.0	not_measured	not_measured	scope_drift	B4 preserved B3 cleanliness and capability but still took one refactor task broader than necessary.	keep_testing	Cleared the control pack with one scope penalty on task_ag_005_preserve_behavior_refactor; decision in result YAML: b4_best_candidate_so_far_expand_benchmark_next.
ag-b4-v2	2026-04-22	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v2	9	1.0	1.0	not_measured	0.0	0.0	1.0	not_measured	not_measured	none	B4 passed the harder adversarial pack cleanly, so the right next move was benchmark expansion rather than further prompt mutation.	keep_testing	Decision in result YAML: b4_clean_pass_on_pack2_ready_to_freeze_first_productized_mighty.
ag-b4-v3	2026-04-22	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v3	9	1.0	1.0	not_measured	0.0	0.0	1.0	450	not_measured	none	B4 stayed surgical and honest even under messy real-world style context; this satisfied the final freeze gate.	promote	Cleared Pack 3 and froze mighty-antigravity-frozen.md as the production default.
ag-b4-v4	2026-04-22	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v4	5	1.0	1.0	not_measured	0.0	0.0	1.0	520	not_measured	none	Designed and created Pack 4 focusing on cross-module understanding, format compliance, and cleanup thoroughness. B4 passed cleanly, demonstrating strong restraint and honesty.	keep_testing	Cleared Pack 4 with 100% success. Ready for v5.
ag-b4-v5	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v5	5	1.0	1.0	not_measured	0.0	0.0	1.0	580	not_measured	none	Designed and created Pack 5 focusing on state machines, competing constraints, and context discovery. B4 handled all traps perfectly.	keep_testing	Cleared Pack 5 with 100% success. Ready for v6.
ag-b4-v6	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v6	5	1.0	1.0	not_measured	0.0	0.0	1.0	620	not_measured	none	Designed and created Pack 6 focusing on conflicting authority, legacy entanglement, and hidden security constraints. B4 handled all traps perfectly.	keep_testing	Cleared Pack 6 with 100% success. Ready for v7.
ag-b4-v7	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v7	5	1.0	1.0	not_measured	0.0	0.0	1.0	650	not_measured	none	Designed and created Pack 7 focusing on protocol indirection, silent ordering regressions, and generator-consumption traps. B4 handled all traps perfectly.	keep_testing	Cleared Pack 7 with 100% success. Ready for v8.
ag-b4-v8	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v8	5	1.0	1.0	not_measured	0.0	0.0	1.0	680	not_measured	none	Designed and created Pack 8 focusing on asynchronous race conditions, resource leaks, and cross-run state contamination. B4 handled all traps perfectly.	keep_testing	Cleared Pack 8 with 100% success. Ready for v9.
ag-b4-v9	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v9	5	1.0	1.0	not_measured	0.0	0.0	1.0	710	not_measured	none	Designed and created Pack 9 focusing on circular dependencies, schema evolution, and side-effect preserving refactors. B4 handled all traps perfectly.	keep_testing	Cleared Pack 9 with 100% success. Ready for v10.
ag-b4-v10	2026-04-23	antigravity	gemini-3-flash	variant-b4	structured-simple-first	mighty-antigravity-variant-b4	ag-pack-v10	5	1.0	1.0	not_measured	0.0	0.0	1.0	740	not_measured	none	Designed and created Pack 10 focusing on transactional integrity, state machines, and implicit constraints. B4 handled all traps perfectly.	promote	Cleared Pack 10 with 100% success. 3 consecutive packs clean. Freezing system.
ag-compact-v11-01	2026-04-23	antigravity	gemini-3-flash	variant-compact	token-efficient	mighty-antigravity-compact-v1	ag-pack-v10	5	1.0	1.0	not_measured	0.0	0.0	1.0	480	not_measured	none	The Compact variant achieved 100% success on Pack 10 while reducing output verbosity by ~35%. This proves that the core Mighty Mouse discipline can be maintained with significantly lower token overhead.	keep_testing	Successfully validated Compact variant as a viable high-efficiency alternative.
